Session_ID,Tutor_ID,Subject_ID,Date,Start_Time,Duration_Minutes,Notes
1,3,12,2025-10-30,16:00,45,Exam review
2,9,25,2025-09-21,15:00,30,
3,1,33,2025-10-11,13:00,45,Homework help
4,34,1,2025-10-09,14:00,90,Exam review
5,36,33,2025-09-11,09:00,90,Concept clarification
6,38,2,2025-09-27,09:00,30,Concept clarification
7,15,9,2025-09-09,14:00,90,Exam review
8,33,19,2025-10-22,14:00,45,Concept clarification
9,36,29,2025-09-25,10:00,90,Concept clarification
10,36,19,2025-09-29,11:00,60,Exam review
11,17,15,2025-10-18,15:00,30,Homework help
12,21,1,2025-09-07,14:00,45,
13,37,40,2025-09-23,14:00,60,Concept clarification
14,13,38,2025-09-25,11:00,60,Homework help
15,37,37,2025-10-31,15:00,30,Concept clarification
16,16,3,2025-10-05,09:00,60,Homework help
17,3,40,2025-10-05,11:00,90,Homework help
18,27,25,2025-09-09,15:00,45,Homework help
19,22,39,2025-10-24,11:00,90,Homework help
20,9,31,2025-09-22,14:00,45,
21,31,14,2025-10-03,11:00,45,Exam review
22,19,5,2025-10-07,13:00,90,Concept clarification
23,9,9,2025-10-18,10:00,60,Exam review
24,25,21,2025-10-25,09:00,30,Concept clarification
25,16,19,2025-10-11,09:00,60,Homework help
26,22,8,2025-09-05,15:00,60,
27,11,5,2025-10-19,14:00,60,Homework help
28,7,33,2025-10-13,14:00,45,Exam review
29,32,35,2025-10-30,13:00,30,Exam review
30,9,35,2025-10-10,10:00,60,Concept clarification
31,28,9,2025-10-23,16:00,90,
32,31,29,2025-10-07,15:00,45,Exam review
33,39,36,2025-10-12,16:00,60,Homework help
34,14,26,2025-09-08,10:00,45,Exam review
35,14,40,2025-10-02,16:00,90,
36,13,27,2025-10-13,16:00,60,Concept clarification
37,37,18,2025-09-13,10:00,90,Homework help
38,22,10,2025-10-01,13:00,30,Exam review
39,27,34,2025-10-23,11:00,90,Concept clarification
40,20,27,2025-10-21,10:00,30,Homework help
